Catalog,L,L1,B,B1,B2,T,T1,Level
896.4.1,134,69,79,65,57,41,22,Upper
909.49.1,225,51,104,52,99,68,28,Upper
909.49.2,198,51,104,55,102,45,18,Upper
909.49.3,159,36,78,33,78,37,13,Upper
909.50.7,173,75,112,92,90,57,25,Upper
909.63.36,101,35,68,28,64,28,10,Upper
909.63.37,193,70,106,57,71,69,25,Upper
910.141.2,206,44,99,31,98,69,13,Upper
910.141.4,242,37,102,35,96,65,19,Upper
930.85.32,149,55,86,71,70,37,17,Upper
AD.1,115,36,62,32,46,39,14,Upper
AD.103,120,24,61,18,60,25,9,Upper
AD.1041,84,39,45,29,37,30,13,Upper
AD.1042,138,68,82,65,60,34,15,Upper
AD.1044,100,33,69,37,61,43,18,Upper
AD.1045,90,39,52,30,37,23,10,Upper
AD.1046,128,43,75,49,70,38,20,Upper
AD.106,85,30,50,27,44,36,14,Upper
AD.108,101,23,57,29,53,33,11,Upper
AD.117,69,32,45,31,23,27,10,Upper
AD.120,84,30,46,29,39,26,11,Upper
AD.122,77,26,46,24,40,20,15,Upper
AD.126,150,51,76,47,57,49,16,Upper
AD.127,157,46,76,38,70,43,13,Upper
AD.128,137,48,79,42,70,43,16,Upper
AD.130,134,38,76,48,70,43,20,Upper
AD.135,141,103,83,78,57,44,25,Upper
AD.138,121,44,80,59,56,39,17,Upper
AD.139,116,33,75,37,66,37,20,Upper
AD.141,136,58,71,40,59,38,19,Upper
AD.142,122,26,80,39,77,35,15,Upper
AD.143,112,71,78,71,60,31,20,Upper
AD.144,146,42,89,45,87,48,19,Upper
AD.145,104,34,62,31,60,28,11,Upper
AD.146,125,42,66,39,49,41,15,Upper
AD.149,107,37,65,37,53,36,16,Upper
AD.15,141,45,94,64,87,49,25,Upper
AD.152,104,28,73,37,70,35,12,Upper
AD.153,106,34,65,35,59,33,12,Upper
AD.154,97,38,58,33,47,32,10,Upper
AD.155,108,34,56,29,51,39,13,Upper
AD.156,98,20,57,31,56,35,13,Upper
AD.160,100,45,35,27,30,31,15,Upper
AD.161,81,32,55,28,52,28,17,Upper
AD.168,163,45,88,39,86,46,16,Upper
AD.17,139,39,91,43,75,54,24,Upper
AD.171,159,47,88,46,84,43,22,Upper
AD.172,136,72,80,72,69,44,24,Upper
AD.173,153,48,78,39,75,43,16,Upper
AD.175,142,41,68,39,65,48,14,Upper
AD.176,139,44,77,35,63,38,16,Upper
AD.177,131,37,81,30,69,38,13,Upper
AD.182,152,35,69,36,68,41,15,Upper
AD.183,130,36,77,35,64,38,15,Upper
AD.185,156,34,81,43,76,35,19,Upper
AD.189,128,45,90,68,81,50,19,Upper
AD.19,140,42,76,52,73,53,17,Upper
AD.190,124,47,72,53,65,38,20,Upper
AD.196,108,34,64,30,62,40,13,Upper
AD.199,114,57,67,42,51,34,17,Upper
AD.2,104,31,63,38,58,31,19,Upper
AD.204,110,41,71,46,62,35,18,Upper
AD.205,102,18,65,39,65,33,15,Upper
AD.208,113,35,58,26,49,27,13,Upper
AD.21,117,46,75,53,61,43,17,Upper
AD.210,107,41,64,46,56,28,18,Upper
AD.211,100,48,58,41,51,27,15,Upper
AD.213,107,24,58,27,57,34,11,Upper
AD.214,93,55,63,53,44,37,15,Upper
AD.215,96,41,66,39,56,33,23,Upper
AD.216,112,33,59,30,57,37,12,Upper
AD.217,128,27,65,21,63,35,10,Upper
AD.218,101,28,62,27,55,37,13,Upper
AD.219,102,45,64,42,53,37,13,Upper
AD.220,97,33,61,41,53,38,17,Upper
AD.221,119,23,55,22,56,40,9,Upper
AD.225,94,29,62,39,54,40,15,Upper
AD.226,104,23,59,24,58,34,7,Upper
AD.227,111,22,53,27,48,32,15,Upper
AD.231,169,66,93,46,66,68,34,Upper
AD.235,138,66,78,56,76,44,19,Upper
AD.237,131,42,92,50,70,47,16,Upper
AD.238,141,50,72,41,60,50,16,Upper
AD.244,129,38,69,33,67,36,15,Upper
AD.245,129,33,73,34,69,28,16,Upper
AD.247,132,28,69,32,68,40,14,Upper
AD.251,114,34,61,34,54,27,16,Upper
AD.255,114,45,71,43,48,37,21,Upper
