Locality,attribute,value
BBB,Level,Lower
BBA,Level,Lower
FB,Level,Lower
FB/HL,Level,Lower
I3,Level,Lower
DE/89A-L,Level,Middle
DE/89A-I,Level,Middle
DE/89B-L,Level,Middle
DE/89B-I,Level,Middle
DE/89C,Level,Middle
H/6,Level,Middle
H/9-A,Level,Middle
H/9-AM,Level,Middle
Mid,Level,Middle
Meng,Level,Middle
LHS,Level,Middle
TrTr/M10,Level,Upper
Hog,Level,Upper
MFS,Level,Upper
BBB,Strata,LS1
BBA,Strata,LS2
FB,Strata,LS3
FB/HL,Strata,LS4
I3,Strata,LS5
DE/89A-L,Strata,MS1a
DE/89A-I,Strata,MS1b
DE/89B-L,Strata,MS2a
DE/89B-I,Strata,MS2b
DE/89C,Strata,MS3
H/6,Strata,MS4
H/9-A,Strata,MS5
H/9-AM,Strata,MS6
Mid,Strata,MS7
Meng,Strata,MS8
LHS,Strata,MS9
TrTr/M10,Strata,US1
Hog,Strata,US2
MFS,Strata,US3
BBB,Large.cutting.tools,1
BBA,Large.cutting.tools,1
FB,Large.cutting.tools,6
FB/HL,Large.cutting.tools,0
I3,Large.cutting.tools,33
DE/89A-L,Large.cutting.tools,51
DE/89A-I,Large.cutting.tools,34
DE/89B-L,Large.cutting.tools,69
DE/89B-I,Large.cutting.tools,435
DE/89C,Large.cutting.tools,24
H/6,Large.cutting.tools,52
H/9-A,Large.cutting.tools,57
H/9-AM,Large.cutting.tools,14
Mid,Large.cutting.tools,89
Meng,Large.cutting.tools,97
LHS,Large.cutting.tools,2
TrTr/M10,Large.cutting.tools,51
Hog,Large.cutting.tools,7
MFS,Large.cutting.tools,0
BBB,Heavy.duty.tools,1
BBA,Heavy.duty.tools,9
FB,Heavy.duty.tools,7
FB/HL,Heavy.duty.tools,0
I3,Heavy.duty.tools,14
DE/89A-L,Heavy.duty.tools,11
DE/89A-I,Heavy.duty.tools,1
DE/89B-L,Heavy.duty.tools,7
DE/89B-I,Heavy.duty.tools,30
DE/89C,Heavy.duty.tools,5
H/6,Heavy.duty.tools,4
H/9-A,Heavy.duty.tools,5
H/9-AM,Heavy.duty.tools,1
Mid,Heavy.duty.tools,5
Meng,Heavy.duty.tools,4
LHS,Heavy.duty.tools,3
TrTr/M10,Heavy.duty.tools,4
Hog,Heavy.duty.tools,2
MFS,Heavy.duty.tools,2
BBB,Large.scrapers,0
BBA,Large.scrapers,0
FB,Large.scrapers,1
FB/HL,Large.scrapers,0
I3,Large.scrapers,6
DE/89A-L,Large.scrapers,5
DE/89A-I,Large.scrapers,3
DE/89B-L,Large.scrapers,4
DE/89B-I,Large.scrapers,38
DE/89C,Large.scrapers,3
H/6,Large.scrapers,1
H/9-A,Large.scrapers,12
H/9-AM,Large.scrapers,2
Mid,Large.scrapers,5
Meng,Large.scrapers,6
LHS,Large.scrapers,0
TrTr/M10,Large.scrapers,7
Hog,Large.scrapers,0
MFS,Large.scrapers,1
BBB,Other.large.tools,0
BBA,Other.large.tools,2
FB,Other.large.tools,6
FB/HL,Other.large.tools,0
I3,Other.large.tools,24
DE/89A-L,Other.large.tools,6
DE/89A-I,Other.large.tools,-5
DE/89B-L,Other.large.tools,5
DE/89B-I,Other.large.tools,20
DE/89C,Other.large.tools,2
H/6,Other.large.tools,5
H/9-A,Other.large.tools,25
H/9-AM,Other.large.tools,
Mid,Other.large.tools,4
Meng,Other.large.tools,7
LHS,Other.large.tools,4
TrTr/M10,Other.large.tools,8
Hog,Other.large.tools,6
MFS,Other.large.tools,0
BBB,Small.tools,59
BBA,Small.tools,42
FB,Small.tools,34
FB/HL,Small.tools,0
I3,Small.tools,139
DE/89A-L,Small.tools,124
DE/89A-I,Small.tools,7
DE/89B-L,Small.tools,10
DE/89B-I,Small.tools,50
DE/89C,Small.tools,41
H/6,Small.tools,15
H/9-A,Small.tools,108
H/9-AM,Small.tools,13
Mid,Small.tools,4
Meng,Small.tools,33
LHS,Small.tools,13
TrTr/M10,Small.tools,74
Hog,Small.tools,47
MFS,Small.tools,16
BBB,Spheroids,-1
BBA,Spheroids,-1
FB,Spheroids,1
FB/HL,Spheroids,1
I3,Spheroids,1
DE/89A-L,Spheroids,-1
DE/89A-I,Spheroids,-1
DE/89B-L,Spheroids,-1
DE/89B-I,Spheroids,-1
DE/89C,Spheroids,-1
H/6,Spheroids,1
H/9-A,Spheroids,1
H/9-AM,Spheroids,-1
Mid,Spheroids,-1
Meng,Spheroids,-1
LHS,Spheroids,-1
TrTr/M10,Spheroids,1
Hog,Spheroids,1
MFS,Spheroids,0
BBB,HA,0
BBA,HA,0
FB,HA,0
FB/HL,HA,0
I3,HA,6
DE/89A-L,HA,1
DE/89A-I,HA,2
DE/89B-L,HA,1
DE/89B-I,HA,2
DE/89C,HA,3
H/6,HA,7
H/9-A,HA,0
